sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src
전라남도,나주,116513,35.016060100000004,126.71075719999999,전라남도 나주,38,6,https://tong.visitkorea.or.kr/cms/resource/69/1606869_image2_1.jpg
전라남도,광양,150591,34.9406968,127.6958882,전라남도 광양,38,4,https://tong.visitkorea.or.kr/cms/resource/49/2483749_image2_1.jpg
전라남도,담양,46522,35.3211394,126.9881673,전라남도 담양,38,7,https://tong.visitkorea.or.kr/cms/resource/18/2612518_image2_1.jpg
전라남도,곡성,27916,35.28195529999999,127.29191750000001,전라남도 곡성,38,3,https://tong.visitkorea.or.kr/cms/resource/89/2032689_image2_1.jpg
전라남도,구례,25255,35.2024947,127.4626534,전라남도 구례,38,5,https://tong.visitkorea.or.kr/cms/resource/68/644268_image2_1.jpg
전라남도,고흥,63374,34.6112219,127.28497800000001,전라남도 고흥,38,2,https://tong.visitkorea.or.kr/cms/resource/04/2043904_image2_1.jpg
전라남도,보성,39838,34.7714563,127.07989440000001,전라남도 보성,38,10,https://tong.visitkorea.or.kr/cms/resource/33/2652133_image2_1.jpg
전라남도,화순,62153,35.0645029,126.9864799,전라남도 화순,38,24,https://tong.visitkorea.or.kr/cms/resource/50/2644350_image2_1.JPG
전라남도,장흥,37028,34.6816856,126.90692779999999,전라남도 장흥,38,20,https://tong.visitkorea.or.kr/cms/resource/42/2704942_image2_1.jpg
전라남도,강진,34248,34.6420774,126.767261,전라남도 강진,38,1,https://tong.visitkorea.or.kr/cms/resource/17/2434117_image2_1.jpg
전라남도,해남,68055,34.5732516,126.5989274,전라남도 해남,38,23,https://tong.visitkorea.or.kr/cms/resource/36/2367436_image2_1.jpg
전라남도,영암,53290,34.8001685,126.6967918,전라남도 영암,38,17,https://tong.visitkorea.or.kr/cms/resource/31/1969531_image2_1.jpg
전라남도,무안,88660,34.9904542,126.48168559999999,전라남도 무안,38,9,https://tong.visitkorea.or.kr/cms/resource/56/2399156_image2_1.jpg
전라남도,함평,31526,35.0659399,126.5165524,전라남도 함평,38,22,https://tong.visitkorea.or.kr/cms/resource/35/1809835_image2_1.jpg
전라남도,영광,52487,35.2771719,126.51198740000001,전라남도 영광,38,16,https://tong.visitkorea.or.kr/cms/resource/54/189654_image2_1.jpg
전라남도,장성,43915,35.3018333,126.78485409999999,전라남도 장성,38,19,https://tong.visitkorea.or.kr/cms/resource/97/2040897_image2_1.jpg
전라남도,완도,49404,34.3110596,126.7550541,전라남도 완도,38,18,https://tong.visitkorea.or.kr/cms/resource/42/1784242_image2_1.jpg
전라남도,진도,30368,34.4868712,126.26348529999999,전라남도 진도,38,21,https://tong.visitkorea.or.kr/cms/resource/38/1993038_image2_1.jpg
전라남도,신안,38687,34.827332,126.101074,전라남도 신안,38,12,https://tong.visitkorea.or.kr/cms/resource/67/2026067_image2_1.jpg
경상북도,포항,503634,36.01901779999999,129.3434808,경상북도 포항,35,23,https://tong.visitkorea.or.kr/cms/resource/54/1967454_image2_1.jpg
경상북도,경주,252602,35.8561719,129.2247477,경상북도 경주,35,2,https://tong.visitkorea.or.kr/cms/resource/07/2648907_image2_1.jpg
경상북도,김천,140293,36.1398393,128.1135947,경상북도 김천,35,6,https://tong.visitkorea.or.kr/cms/resource/54/644554_image2_1.jpg
